rep,rep_id,k,silhouette,davies_bouldin,min_cluster_pct
Std-SemADR,R-EUCLID-d52-Std-ADR-no-country-excl-rare-gov-month-OHE,3,0.1213,2.3581,2.83
Std-SemADR,R-EUCLID-d52-Std-ADR-no-country-excl-rare-gov-month-OHE,4,0.1256,2.0977,2.93
Std-SemADR,R-EUCLID-d52-Std-ADR-no-country-excl-rare-gov-month-OHE,5,0.0953,1.8804,0.76
Std-SemADR,R-EUCLID-d52-Std-ADR-no-country-excl-rare-gov-month-OHE,6,0.114,1.6876,0.12
Std-SemADR,R-EUCLID-d52-Std-ADR-no-country-excl-rare-gov-month-OHE,7,0.1201,1.5764,0.18
Std-SemADR,R-EUCLID-d52-Std-ADR-no-country-excl-rare-gov-month-OHE,8,0.1413,1.4881,0.12
Robust-SemADR,R-EUCLID-d52-Robust-ADR-no-country-excl-rare-gov-month-OHE,3,0.0987,2.1438,0.23
Robust-SemADR,R-EUCLID-d52-Robust-ADR-no-country-excl-rare-gov-month-OHE,4,0.0999,1.7091,0.12
Robust-SemADR,R-EUCLID-d52-Robust-ADR-no-country-excl-rare-gov-month-OHE,5,0.1124,1.6571,0.12
Robust-SemADR,R-EUCLID-d52-Robust-ADR-no-country-excl-rare-gov-month-OHE,6,0.1174,1.5047,0.09
Robust-SemADR,R-EUCLID-d52-Robust-ADR-no-country-excl-rare-gov-month-OHE,7,0.1279,1.5381,0.08
Robust-SemADR,R-EUCLID-d52-Robust-ADR-no-country-excl-rare-gov-month-OHE,8,0.1304,1.5412,0.04
Std-ComADR,R-EUCLID-d53-Std-ADR-yes-country-excl-rare-gov-month-OHE,3,0.1143,2.3364,2.89
Std-ComADR,R-EUCLID-d53-Std-ADR-yes-country-excl-rare-gov-month-OHE,4,0.1132,2.1963,2.88
Std-ComADR,R-EUCLID-d53-Std-ADR-yes-country-excl-rare-gov-month-OHE,5,0.0944,2.0731,2.98
Std-ComADR,R-EUCLID-d53-Std-ADR-yes-country-excl-rare-gov-month-OHE,6,0.0983,1.7673,0.13
Std-ComADR,R-EUCLID-d53-Std-ADR-yes-country-excl-rare-gov-month-OHE,7,0.1212,1.7395,0.71
Std-ComADR,R-EUCLID-d53-Std-ADR-yes-country-excl-rare-gov-month-OHE,8,0.1331,1.5257,0.13
Std-SemADR+weekday,R-EUCLID-d54-Std-ADR-no-country-excl-rare-gov-month-OHE+week-day-raw,3,0.1025,2.5891,2.83
Std-SemADR+weekday,R-EUCLID-d54-Std-ADR-no-country-excl-rare-gov-month-OHE+week-day-raw,4,0.0842,2.5065,2.83
Std-SemADR+weekday,R-EUCLID-d54-Std-ADR-no-country-excl-rare-gov-month-OHE+week-day-raw,5,0.0901,2.1128,0.76
Std-SemADR+weekday,R-EUCLID-d54-Std-ADR-no-country-excl-rare-gov-month-OHE+week-day-raw,6,0.0903,1.8759,0.12
Std-SemADR+weekday,R-EUCLID-d54-Std-ADR-no-country-excl-rare-gov-month-OHE+week-day-raw,7,0.1053,1.8114,0.12
Std-SemADR+weekday,R-EUCLID-d54-Std-ADR-no-country-excl-rare-gov-month-OHE+week-day-raw,8,0.1018,1.8213,0.18
